module,path,loc,src_incoming,src_outgoing,test_text_refs,flags
bremen.platform.jobs.service,src/bremen/platform/jobs/service.py,479,0,0,0,ADDED PR0162
bremen.platform.jobs.values,src/bremen/platform/jobs/values.py,36,0,0,0,ADDED PR0162
bremen.platform.models.__init__,src/bremen/platform/models/__init__.py,1,0,0,0,ADDED PR0162
bremen.platform.models.catalog,src/bremen/platform/models/catalog.py,174,0,0,0,ADDED PR0162
bremen.platform.models.discovery,src/bremen/platform/models/discovery.py,1163,0,0,0,ADDED PR0162
bremen.platform.models.registry,src/bremen/platform/models/registry.py,304,0,0,0,ADDED PR0162
bremen.platform.models.state,src/bremen/platform/models/state.py,415,0,0,0,ADDED PR0162
bremen.platform.reports.__init__,src/bremen/platform/reports/__init__.py,0,0,0,0,ADDED PR0162
bremen.platform.reports.bremen,src/bremen/platform/reports/bremen.py,289,0,0,0,ADDED PR0162
bremen.platform.reports.decision_support,src/bremen/platform/reports/decision_support.py,219,0,0,0,ADDED PR0162
bremen.platform.reports.diagnostics,src/bremen/platform/reports/diagnostics.py,175,0,0,0,ADDED PR0162
bremen.platform.reports.execution_events,src/bremen/platform/reports/execution_events.py,164,0,0,0,ADDED PR0162
bremen.platform.reports.failures,src/bremen/platform/reports/failures.py,88,0,0,0,ADDED PR0162
bremen.platform.reports.mapper,src/bremen/platform/reports/mapper.py,391,0,0,0,ADDED PR0162
bremen.platform.reports.runtime_projection,src/bremen/platform/reports/runtime_projection.py,111,0,0,0,ADDED PR0162
bremen.platform.reports.service,src/bremen/platform/reports/service.py,420,0,0,0,ADDED PR0162
bremen.platform.runtime.__init__,src/bremen/platform/runtime/__init__.py,0,0,0,0,ADDED PR0162
bremen.platform.runtime.executor,src/bremen/platform/runtime/executor.py,241,0,0,0,ADDED PR0162
bremen.platform.runtime.registry,src/bremen/platform/runtime/registry.py,180,0,0,0,ADDED PR0162
bremen.platform.sources.__init__,src/bremen/platform/sources/__init__.py,0,0,0,0,ADDED PR0162
bremen.platform.sources.binding,src/bremen/platform/sources/binding.py,20,0,0,0,ADDED PR0162
bremen.platform.sources.demo_storage,src/bremen/platform/sources/demo_storage.py,372,0,0,0,ADDED PR0162
bremen.platform.sources.legacy_input,src/bremen/platform/sources/legacy_input.py,48,0,0,0,ADDED PR0162
bremen.platform.sources.legacy_layouts,src/bremen/platform/sources/legacy_layouts.py,1506,0,0,0,ADDED PR0162
bremen.platform.sources.preflight,src/bremen/platform/sources/preflight.py,583,0,0,0,ADDED PR0162
bremen.platform.sources.registry,src/bremen/platform/sources/registry.py,283,0,0,0,ADDED PR0162
bremen.platform.sources.service,src/bremen/platform/sources/service.py,230,0,0,0,ADDED PR0162
